A.V,Armor Minerals Inc,
AA-H.V,Alba Minerals Ltd,
AAC.V,Arak Resources Corp,
AAD.V,Added Capital Inc,
AAL.V,Advantage Lithium Corp,
AAM.V,Austral Gold Limited,
AAN.V,Alexander Nubia Internat,
AAO.V,Augusta Industries Inc,
AAP.V,Alpha Peak Leisure Inc,
AAT.V,Ati Airtest Technologies,
AAX.V,Advance Gold Corp,
AAZ.V,Azincourt Uranium Inc,
AB-H.V,Asbestos Corporation Lim,
ABI.V,Abcourt Mines Inc.,
ABM.V,Athabasca Minerals Inc.,
ABN.V,Aben Resources Ltd.,
ABR.V,Ashburton Ventures Inc.,
ABU.V,Abenteuer Resources Corp,
ABZ.V,Asiabasemetals Inc.,
ACB.V,Aurora Cannabis Inc,
ACE-H.V,Ace Aviation Holdings In,
ACH.V,Arch Biopartners Inc,
ACL.V,Acl International Ltd,
ACS.V,Archon Minerals Limited,
ACST.V,Acasti Pharma Inc,
ACU.V,Aurora Solar Technologie,
ADD.V,Arctic Star Exploration,
ADE.V,Adex Mining Inc.,
ADG.V,Arcus Development Group,
ADI.V,Adriana Resources Inc.,
ADK.V,Diagnos Inc.,
ADR-H.V,Arcland Resources Inc.,
ADZ.V,Adamera Minerals Corp,
AEN.V,Antrim Energy Inc,
AFE.V,Africa Energy Corp,
AFM.V,Alphamin Resources Corp.,
AFR.V,African Metals Corporati,
AFS-H.V,Afrasia Mineral Fields Inc.,
AGB.V,Atlantic Gold Corporatio,
AGB-WT.V,Atlantic Gold Corp Wts,
AGC.V,Amarillo Gold Corp.,
AGD.V,Antioquia Gold Inc.,
AGG.V,African Gold Group Inc.,
AGH.V,Canadian Silver Hunter I,
AGH-H.V,Canadian Silver Hunter Inc,
AGL.V,Aguila American Gold Ltd,
AGLD.V,Austral Gold Limited,
AGM.V,Aldridge Minerals Inc.,
AGO.V,Aurcrest Gold Inc,
AGV.V,Agave Silver Corp,
AGX-H.V,Amador Gold Corp,
AGY-H.V,Atom Energy Inc,
AGZ.V,Ashanti Gold Corp,
AHI.V,Agility Health Inc,
AHP.V,Allied Hotel Properties Inc,
AHR.V,Amarc Resources Ltd.,
AHS.V,Alta Natural Herbs and S,
AHU.V,Arctic Hunter Energy Inc,
AII.V,Almonty Industries Inc,
AIN-H.V,Aintree Resources Inc,
AIS-H.V,Ais Resources Limited,
AIX.V,Alix Resources Corp.,
AKH.V,Alaska Hydro Corporation,
AKR.V,Ackroo Inc,
AL.V,Alx Uranium Corp,
ALD.V,Aldever Resources Inc,
ALG.V,Algold Resources Ltd,
ALI.V,Altitude Resources Inc,
ALK-H.V,Alkali3 Resources Inc,
ALL-H.V,Allante Resources Ltd,
ALM.V,Alliance Mining Corp,
ALN.V,Aldrin Resource Corp.,
ALP.V,Alabama Graphite Corp,
ALT.V,Alturas Minerals Corp.,
ALV.V,Alvopetro Energy Ltd,
ALY.V,Analytixinsight Inc,
ALZ.V,Aldershot Resources Ltd,
ALZ-H.V,Aldershot Resources Ltd,
AM-H.V,Automodular Corporation,
AME.V,Abacus Mining & Explorat,
AMK.V,American Creek Resources,
AML.V,Argus Metals Corp.,
AMO.V,Altan Rio Minerals Limit,
AMT-H.V,Amato Exploration Ltd.,
AMU.V,Ami Resources Inc,
AMX.V,AMEX Exploration Inc,
AMY.V,American Manganese Inc.,
AMZ.V,Almadex Minerals Limited,
AN.V,Arena Minerals Inc,
ANB.V,Anglo,Bomarc Mines Ltd
ANE.V,Altan Nevada Minerals Li,
ANF.V,Anfield Nickel Corp.,
ANG.V,Angel Gold Corp,
ANK.V,Angkor Gold Corp,
ANL-H.V,Atlantic Industrial Minerals Inc.,
ANZ.V,Alianza Minerals Ltd,
AOS.V,Alberta Oilsands Inc.,
AOT.V,Ascot Resources Ltd.,
APA.V,Alliancepharma Inc,
APC.V,Advanced Proteome Therap,
APE.V,Apogee Silver Ltd,
APH.V,Aphria Inc,
APL.V,Appulse Corp.,
APN.V,Altiplano Minerals Ltd,
APV.V,Apivio Systems Inc,
APX.V,Apex Resources Inc,
AQ.V,African Queen Mines Ltd.,
AQM.V,Aqm Copper Inc.,
AQS.V,Aequus Pharmaceuticals I,
ARA.V,Anconia Resources Corp,
ARB-H.V,Ardonblue Ventures Inc,
ARC.V,Arian Resources Corp,
ARD.V,Armada Data Corp.,
ARH.V,Altima Resources Ltd.,
ARI.V,Acme Resources Inc.,
ARR.V,Arco Resources Corp,
ARS.V,Asiamet Resources Limited,
ART.V,Arht Media Inc,
ARU.V,Aurania Resources Ltd,
ARY.V,Anfield Resources Inc,
ASG.V,Aurora Spine Corporation,
ASL.V,Argentum Silver Corp.,
ASM.V,Avino Silver and Gold Mi,
ASM-WT.V,Avino Silver and Gold Mines Ltd Wts,
ASN.V,Asian Mineral Res Ltd.,
ASQ.V,Astorius Resources Ltd.,
AT.V,Acuityads Holdings Inc,
ATC.V,Atac Resources Ltd.,
ATE.V,Antibe Therapeutics Inc,
ATG.V,Atlanta Gold Inc.,
ATI.V,Altai Resources Inc,
ATM.V,Atacama Pacific Gold Cor,
ATU.V,Altura Energy Inc,
ATV.V,Alto Ventures Ltd,
ATW.V,Atmanco Inc,
ATY.V,Atico Mining Corporation,
AU.V,Aurion Resources Ltd.,
AUN.V,Aurcana Corporation,
AUT.V,Austin Resources Ltd,
AUU.V,Aura Silver Resources In,
AUV.V,Augyva Mining Resources,
AUX.V,Auramex Resource Corp,
AVA.V,Aurvista Gold Corporatio,
